"Michaelsen, Swantje Henrike",MdB,Bündnis 90/Die Grünen
"Michel, Kathrin",MdB,SPD
"Middelberg, Dr. Mathias",MdB,CDU/CSU
"Miersch, Dr. Matthias",MdB,SPD
"Mieves, Matthias David",MdB,SPD
"Mihalic, Dr. Irene",MdB,Bündnis 90/Die Grünen
"Mijatović, Boris",MdB,Bündnis 90/Die Grünen
"Mittag, Susanne",MdB,SPD
"Möhring, Cornelia",MdB,Gruppe Die Linke
"Möller, Siemtje",MdB,SPD
"Mörseburg, Maximilian",MdB,CDU/CSU
"Mohamed Ali, Amira",MdB,Gruppe BSW
"Mohrs, Falko",MdB,SPD  *
"Moll, Claudia",MdB,SPD
"Moncsek, Mike",MdB,AfD
"Monstadt, Dietrich",MdB,CDU/CSU
"Moosdorf, Matthias",MdB,AfD
"Mordhorst, Maximilian",MdB,FDP
"Müller, Alexander",MdB,FDP
"Müller, Axel",MdB,CDU/CSU
"Müller, Bettina",MdB,SPD
"Müller (Braunschweig), Carsten",MdB,CDU/CSU
"Müller, Claudia",MdB,Bündnis 90/Die Grünen
"Müller (Chemnitz), Detlef",MdB,SPD
"Müller, Florian",MdB,CDU/CSU
"Müller, Michael",MdB,SPD
"Müller, Sascha",MdB,Bündnis 90/Die Grünen
"Müller, Sepp",MdB,CDU/CSU
"Müller (Erlangen), Stefan",MdB,CDU/CSU  *
"Müller-Gemmeke, Beate",MdB,Bündnis 90/Die Grünen
"Müller-Rosentritt, Frank",MdB,FDP
"Müntefering, Michelle",MdB,SPD
"Münz, Volker",MdB,AfD
"Münzenmaier, Sebastian",MdB,AfD
"Mützenich, Dr. Rolf",MdB,SPD
"Nacke, Dr. Stefan",MdB,CDU/CSU
"Nanni, Sara",MdB,Bündnis 90/Die Grünen
"Nasr, Rasha",MdB,SPD
"Nastic, Zaklin",MdB,Gruppe BSW
"Naujok, Edgar",MdB,AfD
"Nestle, Dr. Ingrid",MdB,Bündnis 90/Die Grünen
"Nick, Dr. Ophelia",MdB,Bündnis 90/Die Grünen
"Nickholz, Brian",MdB,SPD
"Nicolaisen, Petra",MdB,CDU/CSU
"Nietan, Dietmar",MdB,SPD
"Nolte, Jan Ralf",MdB,AfD
"Notz, Dr. Konstantin von",MdB,Bündnis 90/Die Grünen
"Nouripour, Omid",MdB,Bündnis 90/Die Grünen
"Nürnberger, Jörg",MdB,SPD
"Oehl, Lennard",MdB,SPD
"Oellers, Wilfried",MdB,CDU/CSU
